user_id,signup_date,purchase_date,amount,channel,product_category
1,2024-02-21,2024-03-13 08:25:06.350735,80.0,direct,books
1,2024-02-21,2024-03-03 21:21:33.775103,179.44,direct,electronics
4,2024-03-15,2024-03-22 23:22:17.723858,19.41,email,books
4,2024-03-15,2024-03-21 07:02:37.763396,109.7,email,home_garden
4,2024-03-15,2024-03-22 11:58:49.461883,22.65,email,books
8,2024-03-04,2024-03-14 07:30:50.077365,18.84,referral,toys
8,2024-03-04,2024-03-25 07:27:09.088939,200.01,referral,sports
9,2024-02-02,2024-02-27 01:06:12.824888,137.76,paid_search,toys
9,2024-02-02,2024-03-07 15:53:59.159610,79.08,paid_search,books
10,2024-01-22,2024-01-31 05:30:18.673957,35.9,organic,toys
13,2024-02-29,2024-02-29 07:15:13.735327,95.56,paid_search,sports
13,2024-02-29,2024-03-20 05:39:15.793395,25.5,paid_search,books
13,2024-02-29,2024-03-18 13:14:12.424259,45.31,paid_search,sports
16,2024-02-24,2024-03-04 12:24:26.191868,56.72,referral,sports
16,2024-02-24,2024-03-10 19:41:52.119382,92.62,referral,electronics
16,2024-02-24,2024-03-06 14:24:59.064741,92.32,referral,toys
16,2024-02-24,2024-03-12 18:18:52.719245,44.01,referral,clothing
16,2024-02-24,2024-03-05 15:30:46.927434,18.65,referral,books
16,2024-02-24,2024-03-08 20:16:40.934830,39.47,referral,clothing
16,2024-02-24,2024-03-10 09:47:20.827146,13.95,referral,toys
16,2024-02-24,2024-03-05 01:03:17.395492,54.99,referral,clothing
17,2024-01-03,2024-01-16 18:46:18.545209,74.25,email,beauty
20,2024-03-29,2024-03-30 05:44:15.208091,49.9,direct,toys
21,2024-01-09,2024-01-26 14:42:40.401558,17.18,organic,books
21,2024-01-09,2024-01-29 21:53:55.612015,29.1,organic,toys
21,2024-01-09,2024-01-20 04:09:07.409280,226.16,organic,electronics
22,2024-01-02,2024-01-16 15:14:37.474133,222.52,social_media,electronics
27,2024-01-02,2024-02-08 11:44:15.289879,36.75,paid_search,toys
27,2024-01-02,2024-01-16 21:46:05.420165,106.01,paid_search,sports
27,2024-01-02,2024-02-05 16:57:42.477290,74.4,paid_search,sports
27,2024-01-02,2024-01-26 03:07:20.465194,41.03,paid_search,books
30,2024-01-18,2024-02-14 04:47:17.521173,21.5,email,books
30,2024-01-18,2024-01-27 18:00:54.368209,9.96,email,toys
31,2024-02-03,2024-02-06 11:52:22.034159,26.84,paid_search,beauty
33,2024-01-15,2024-01-17 04:37:30.360862,131.28,organic,home_garden
33,2024-01-15,2024-02-11 13:27:04.204289,54.23,organic,beauty
37,2024-02-22,2024-02-24 09:51:45.147536,72.25,social_media,beauty
37,2024-02-22,2024-02-25 14:12:22.742229,46.25,social_media,beauty
37,2024-02-22,2024-02-23 10:53:41.507754,74.39,social_media,sports
